disease,certainty_tercile,n,commission_rate,omission_rate,order_swap_rate,mean_certainty,rubric_length_mean,rubric_length_sd,actual_length_mean,actual_length_sd,actual_length_no_chest_mean,actual_length_no_chest_sd,rubric_cost_mean,rubric_cost_sd,actual_cost_mean,actual_cost_sd,actual_cost_no_chest_mean,actual_cost_no_chest_sd,delta_length_mean,delta_length_sd,delta_length_no_chest_mean,delta_length_no_chest_sd,delta_cost_mean,delta_cost_sd,delta_cost_no_chest_mean,delta_cost_no_chest_sd
appendicitis,low,24,0.625,0.2916666666666667,0.08333333333333333,-0.2934519522616074,1.8333333333333333,1.0072203103706696,"actual_length    2.791667
actual_length    2.791667
dtype: float64","actual_length    0.58823
actual_length    0.58823
dtype: float64",2.4583333333333335,0.5089773777040516,446.9166666666667,480.9476982019948,933.2083333333334,209.31274274482746,910.875,218.9888447625467,0.9583333333333334,1.1601786469133204,0.625,1.1726039399558574,486.2916666666667,529.9617278360905,463.9583333333333,537.3202008006081
appendicitis,mid,23,0.6086956521739131,0.2608695652173913,0.043478260869565216,4.087559857267151,1.8695652173913044,1.0137396037394037,"actual_length    2.956522
actual_length    2.956522
dtype: float64","actual_length    0.366589
actual_length    0.366589
dtype: float64",2.5652173913043477,0.5068698018697018,464.2173913043478,484.0606607855654,981.9565217391304,159.9921811330648,955.7391304347826,162.86224446426112,1.0869565217391304,1.040674758303078,0.6956521739130435,1.1845514152353067,517.7391304347826,484.00734567972904,491.5217391304348,491.439062121293
appendicitis,high,24,0.125,0.375,0.08333333333333333,6.240940478449107,2.75,0.6756639246921762,"actual_length    3.0
actual_length    3.0
dtype: float64","actual_length    0.294884
actual_length    0.294884
dtype: float64",2.5833333333333335,0.5036101551853348,884.625,322.6295240405141,961.0833333333334,60.672260452415976,933.1666666666666,85.61372638150694,0.25,0.7372097807744856,-0.16666666666666666,0.8681147322824312,76.45833333333333,331.5257192681012,48.541666666666664,339.04110038994276
appendicitis,all,71,0.4507042253521127,0.30985915492957744,0.07042253521126761,3.334557765431612,2.1549295774647885,0.9949571035109817,"actual_length    2.915493
actual_length    2.915493
dtype: float64","actual_length    0.43904
actual_length    0.43904
dtype: float64",2.535211267605634,0.5023085538787879,600.4788732394367,475.0920169264934,958.4225352112676,155.08750175044787,932.943661971831,163.82681511923704,0.7605633802816901,1.0483291295116706,0.38028169014084506,1.13849772172554,357.943661971831,493.1782896195988,332.46478873239437,500.4147374495884
cholecystitis,low,31,0.8709677419354839,0.22580645161290322,0.0,0.08256728643478316,2.032258064516129,0.7063460420946633,"actual_length    3.580645
actual_length    3.580645
dtype: float64","actual_length    0.719916
actual_length    0.719916
dtype: float64",2.806451612903226,0.6010743070375287,496.741935483871,572.0122940253373,1044.9032258064517,526.4754096719498,993.0322580645161,525.3085115035396,1.5483870967741935,0.9605106168915002,0.7741935483870968,0.8835412617927487,548.1612903225806,697.4772682926276,496.2903225806452,696.0650924326155
cholecystitis,mid,31,0.5806451612903226,0.3225806451612903,0.03225806451612903,2.1385990015415466,2.2903225806451615,0.6925098500910426,"actual_length    3.16129
actual_length    3.16129
dtype: float64","actual_length    0.582911
actual_length    0.582911
dtype: float64",2.4838709677419355,0.6256179740563449,710.7741935483871,635.7837006234861,784.3870967741935,544.4342431931431,739.0,559.3984864715552,0.8709677419354839,0.9571462961627466,0.1935483870967742,0.8725195256156996,73.61290322580645,702.472048194534,28.225806451612904,706.4849000357293
cholecystitis,high,31,0.5483870967741935,0.3870967741935484,0.0,5.990078413509707,2.5806451612903225,0.5016103101271011,"actual_length    3.322581
actual_length    3.322581
dtype: float64","actual_length    0.701764
actual_length    0.701764
dtype: float64",2.6774193548387095,0.747756501105966,930.2903225806451,614.4726299056988,967.0645161290323,663.9147503248627,923.8387096774194,676.0121841492796,0.7419354838709677,0.8932241949060669,0.0967741935483871,0.9075549096217234,36.774193548387096,849.8534661801965,-6.451612903225806,857.3838050997416
cholecystitis,all,93,0.6666666666666666,0.3118279569892473,0.010752688172043012,2.7370815671620123,2.3010752688172045,0.6721954011420364,"actual_length    3.354839
actual_length    3.354839
dtype: float64","actual_length    0.685964
actual_length    0.685964
dtype: float64",2.6559139784946235,0.6674843045852803,712.6021505376344,627.1352073167274,932.1182795698925,585.5115349820258,885.2903225806451,593.8580122467637,1.053763440860215,0.9930803132923848,0.3548387096774194,0.9283594844661829,219.51612903225808,780.9495559741085,172.68817204301075,783.3184562362345
diverticulitis,low,12,0.5,0.0,0.0,-1.380152819268041,2.0,0.0,"actual_length    3.166667
actual_length    3.166667
dtype: float64","actual_length    0.57735
actual_length    0.57735
dtype: float64",2.5,0.5222329678670935,834.0,0.0,963.6666666666666,83.06113119354633,919.0,88.7796045374059,1.1666666666666667,0.5773502691896257,0.5,0.5222329678670935,129.66666666666666,83.06113119354633,85.0,88.7796045374059
diverticulitis,mid,11,0.36363636363636365,0.0,0.0,1.0931147849441194,2.0,0.0,"actual_length    3.545455
actual_length    3.545455
dtype: float64","actual_length    0.8202
actual_length    0.8202
dtype: float64",2.5454545454545454,0.8201995322647243,834.0,0.0,1212.8181818181818,613.3770159016098,1145.8181818181818,613.3770159016098,1.5454545454545454,0.8201995322647243,0.5454545454545454,0.8201995322647243,378.8181818181818,613.3770159016098,311.8181818181818,613.3770159016098
diverticulitis,high,12,0.75,0.0,0.0,3.5248087481864,1.1666666666666667,0.3892494720807615,"actual_length    3.0
actual_length    3.0
dtype: float64","actual_length    0.603023
actual_length    0.603023
dtype: float64",2.1666666666666665,0.5773502691896257,179.83333333333334,305.56083558339776,866.9166666666666,247.75040898354771,811.0833333333334,251.6532456786641,1.8333333333333333,0.7177405625652734,1.0,0.7385489458759964,687.0833333333334,380.81287658073876,631.25,387.49853372156605
diverticulitis,all,35,0.5428571428571428,0.0,0.0,1.0788609651830174,1.7142857142857142,0.45834924851410563,"actual_length    3.228571
actual_length    3.228571
dtype: float64","actual_length    0.68966
actual_length    0.68966
dtype: float64",2.4,0.6507913734559685,609.7142857142857,359.804160083573,1008.8,392.47553689220354,953.2857142857143,391.45870275980167,1.5142857142857142,0.7424691941095473,0.6857142857142857,0.7183080025689689,399.0857142857143,463.4993731468933,343.57142857142856,463.5930191395875
pancreatitis,low,34,0.8823529411764706,0.14705882352941177,0.0,2.4232520459052083,1.588235294117647,0.6567895774291853,"actual_length    3.352941
actual_length    3.352941
dtype: float64","actual_length    0.812119
actual_length    0.812119
dtype: float64",2.7058823529411766,0.718981255907142,505.61764705882354,496.63217378939595,1251.1764705882354,679.1281608235146,1207.8235294117646,680.2751881046391,1.7647058823529411,1.074746581247758,1.1176470588235294,0.9774644342085302,745.5588235294117,870.3757875690549,702.2058823529412,869.4034799064473
pancreatitis,mid,33,0.696969696969697,0.3939393939393939,0.030303030303030304,5.212311099936955,2.3636363636363638,0.652791209833867,"actual_length    3.515152
actual_length    3.515152
dtype: float64","actual_length    0.833712
actual_length    0.833712
dtype: float64",2.787878787878788,0.6963106238227913,1005.2121212121212,500.7650869903821,1181.2121212121212,685.0633984154202,1132.4848484848485,684.664019848975,1.1515151515151516,1.1758298165873144,0.42424242424242425,1.0316946929174051,176.0,883.2376166694895,127.27272727272727,879.3419866840513
pancreatitis,high,34,0.47058823529411764,0.5588235294117647,0.058823529411764705,7.060665326464553,2.735294117647059,0.6183469424008423,"actual_length    3.294118
actual_length    3.294118
dtype: float64","actual_length    0.759961
actual_length    0.759961
dtype: float64",2.6176470588235294,0.7790711595597375,1215.3235294117646,529.8231677895557,1052.8529411764705,699.6482290301511,1007.5294117647059,709.8949233083989,0.5588235294117647,0.8595691828094179,-0.11764705882352941,0.9459548929714047,-162.47058823529412,832.1557340879177,-207.7941176470588,843.9815371889747
pancreatitis,all,101,0.6831683168316832,0.36633663366336633,0.0297029702970297,4.895638187707836,2.227722772277228,0.798513470378702,"actual_length    3.386139
actual_length    3.386139
dtype: float64","actual_length    0.799629
actual_length    0.799629
dtype: float64",2.702970297029703,0.7286227344167285,907.7623762376238,586.9865441134891,1161.5544554455446,686.1444232120166,1115.7821782178219,689.9136120408181,1.1584158415841583,1.146583387873091,0.4752475247524752,1.1008547534160946,253.79207920792078,933.4244406145758,208.01980198019803,935.8982528052718
